雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
胡桃肉,"克,枚"
蝉蜕,"g,None,-7枚,克,分"
紫河车,"具,两"
布渣叶,g
柏勒,g
土瓜根,两
鹿角霜,"钱,g,两"
自然铜,"g,钱,分,两"
天花粉,"克,g,升,钱,分,None,钱2分"
防葵,None
地黄,"g,克,钱,两"
薄川朴,钱半
苏子,"两,g,None,克"
鼠牙,None
百部,"g,克"
童便浸,None
煅乌贼骨茜草炭地榆炭,g
拣去枝梗再炒,None
谷牙,g
煅龙牡,g
败酱草,g
羚羊角粉,g
生三七粉,"-5克,g"
莪术,"g,None,两,克,钱"
龟板胶,g
当归炭,g
安乐,g
真蛤粉,两
扁蓄,g
银末,None
鸦胆子,"粒,克"
墨旱莲,g
川芩,g
枣猬皮,克
桃仁,"克,g,None,枚,两,粒,分"
芒消,"两,克"
杜藿梗,钱
炙马钱子,克
蔻壳,g
鱼脑骨,克
昆布,"g,克,分"
白鲜皮,"g,两"
连翘,"克,两,g,钱,None,石"
天麻,"g,钱,分,两,克,None"
虎骨节,None
飞硼砂,分
鹿角尖,两
猪茯苓,克
槐花,"两,克,None,钱,g,千克"
蛤壳,"两半,两,钱半,g"
白头翁,"克,g"
紫珠叶,g
香薷,"g,握"
井泉石,两
鳖甲,"两,克,None,钱,g,两半"
苦楝根,两
苎麻根,g
广郁金,g
骨碎补,"钱,两,g,None,分,克"
核桃肉,两
白约,g
炒山栀子,g
水浸透,None
降香,"None,钱,两,g,克"
熟地,"两,克,钱,None,g"
炒黑荆芥,克
瓜壳,g
虻虫,两
草蔻,"克,g,两5钱,分,枚"
酸枣仁,"克,g,石,钱5分,分,钱,两,None"
生山栀,"g,克"
建曲,g
嫩槐条,斤
铁黄,g
葱白,"None,茎,握,升"
盐,"None,两"
公丁香,"g,两,None,克,钱,分,份"
干地龙,g
苦地丁,g
不计多少,None
槐来炭,g
真降香,g
乳没,g
小蓟根,"克,g"
龙胆草,"g,克,钱,分,None,两"
熟五倍子,两
菝瘛,两
通草,"斤,克,g,两"
山萸肉,"克,两,None,g,钱"
碧玉散,g
白扁豆,"None,g,克,两"
血余碳,g
天葵子,"g,克"
％地榆炭,g
锦地罗,两
甘松,"克,g"
番泻叶,g
加至,-4枚
棕桐炭,g
佩兰,g
烧红,None
鲜鱼腥草,克
仙鹤草,"克,g,None"
玄明粉,"g,None,分"
白莲花,两
生石决明,g
紫草,"克,g,升,None"
白垩,两
石决明,两
白花蛇舌草,g
穿山甲,"克,g,片,两,钱"
洪连,g
墨面,两
白木,克
肉桂,"两,g,None,克,钱,两半,分,斤"
人参,"两,None,钱半,～6克,钱,克,g,分,两5钱,两半"
山桅子仁,克
乌梢蛇,"钱,None,g"
蕲蛇,"条,g"
人中黄,None
％生大黄,g
炮姜柴胡,g
于石器内慢火熬成膏,None
焦茜草,None
玉米须,g
荆芥,"钱,两,钱半,克,g,None,分,钱2分,斤"
上己菜,g
竹茹栗大,团
松墨,两
旋覆花,"钱,克"
矮地茶,g
莽草,分
荆三棱,None
海蛤粉,g
钱,两
黄酒,ml
腊月猪板脂,斤
鸡爪三棱,两
炙黄芪,g
马尾连,g
