怀生地,两
石首鱼脑砂,个
焦三仙,克
茅花,钱
白盐,两
保和丸,钱
没药炭,g
甜瓜蒂,"枚,两,克"
犀角屑,"分,两"
紫石英,"两,g"
甘草煎浓汁浸,None
蒸薏米,g
炒白芥子,g
虎颈骨,g
麸炒微黄,None
月季花,克
荆芥,"g,两,克,None,钱5分,钱,分,握,叶"
赤勺,"g,None"
香攫,克
炮黑姜,钱
商路,g
甘,钱
炙乳香,"g,钱"
诈死子,None
制天南星,g
炙乌蛇,g
黄栀,g
瓜蒌皮,g
水红花子,g
与盒子口缝平,None
鞭叶铁线蕨,g
去丝,克
藤黄,None
松萝,两
牛蒡子,"钱,克,g,None,两,分,份"
射干,"钱5分,g,分,钱,None,两"
酒川芎,克
钩腾,g
白蔹,"克,g,两,None,钱5分"
治中汤加丁香,None
贯众,"g,钱,克,枚,None"
紫苏,"None,克,g,分,钱"
葱须,克
却用纸裹,None
故纸,"斤8两,克"
太子参,g
剪芡实,g
牡丹花瓣,g
蛇胆,g
猪蹄,只
炒黄柏,g
藁本,"克,两,g,分"
以汁煮菟丝子,None
鹅不食草,"g,两"
椒,"g,两"
漠逝,g
％生大黄,g
斑蝥,"个,只,-7枚,钱,枚,克,两,None"
用竹器盛于长流水中浸,None
炙微黄,None
新砖,None
蟾头,枚
野台参,克
陈螺蛳,克
江子肉,两
龙眼睛,g
白豆蔻,"克,两,枚,g,钱5分,分,None"
上元,g
虾米,克
活马根,g
上药先以盐泥固济炉子,None
防己,"克,钱,g,None,两,分,斤"
荆三棱,克
诃子皮,"钱,克"
即败叶青,None
鸡子,枚
庵闾子,克
雀儿,只
桃花,克
樟木,g
参三七粉,g
风化朴消,克
嫩桂枝,克
王锦蛇,条
猪脚爪,只
怀熟地,克
卷柏叶,两
塞满,None
盐汤浸,两
四君子汤加蜜炙黄耆,None
放令极干,None
鸡子黄,个
铜刀刮,None
羊腰子,对
姜汁浸透,None
真香麻油,斤
益母膏,两
甜苁蓉,g
老鹤草,g
净香附,钱半
紫花地丁,"钱,g,克"
