雄黄,"g,分,克,钱,None,两,两半"
川羌活,"两,None"
穿破石,g
灯心草,"根,两半,None"
八地金牛,g
夏枯草,"g,None,克,钱"
葶苈子,"钱7分,g,两,克,分"
力子,None
猪悬蹄甲,枚
火煅起金花,None
母丁香,"枚,两"
盐泥固,None
用小油浸,None
莲须,"钱5分,克"
以党参,None
生薏米,钱
韭菜,g
金钱草,"克,g,None,两"
硫磺,g
山桅子,g
陈醋,g
浙贝,"None,克,两,g"
匙,None
生犀角,克
白丁香,"两,None,克"
向好纸上,None
用炭火煅,None
杜白芷,两
芦甘石,g
石,两
生葛,两
鲜绿豆,g
纸袋盛,None
加死人胸骨,两
黑糖,g
马钱子,"g,斤,份"
猪胰子,个
抗白芍,g
石韦,"克,两"
槐枝,"寸,厘"
明雄,两
盐黄柏,g
路通,None
麦芽粉,两5钱
土,None
盔沉香,钱
女贞子柴胡,g
生金银,两
血余灰,钱
罗木,None
盐水,毫升
木香马兜铃,g
窑老,None
橘络,"克,g"
醋制香附,g
用麦门冬,克
黄柏,"克,g,钱,None,两,钱4分,分,钱半"
柴滑,g
决明,g
腊月猪脂,"克,两"
百草霜,"两,None,钱"
陈木瓜钱半,None
谷芽,"钱,两,克,g"
怀牛膝,"g,克,钱5分"
荷梗,"g,None"
如琥珀色,None
牛乳,毫升
大川芎,"g,None"
包枇杷叶,g
澄,None
硼粉,钱4分
白川,g
败龟,"两,None"
五加皮,"两,None,分,克,钱,两半"
渐贝,g
梨汁,毫升
芋艿丸,g
泽漆,"g,两"
取净药,克
象皮,"钱,分"
—,None
生姜汁,"克,毫升,合,None"
荷蒂,g
云白术,钱
象牙屑,克
见肿消,g
姜黄片,钱
味和匀,None
莲心,"分,g"
剥皮切片,None
枸杞子,"克,g,钱,None,两,合"
用降真香,克
姜炭L,克
木馒头,g
灯心灰,分
南木香,"None,两,钱,克"
山药,"克,钱,None,g,分,两"
飞青黛,钱
蛇床子,"两,g,钱,克"
葱子,钱
炒莱菔,两
天竺黄,"g,钱,分,两"
鹳骨,两
五味子,"g,克,None,升,两,石,钱,分,粒"
伞梗虎耳草,g
桑椹子,g
牡丹花,克
胡桃肉,"两,g"
茶,g
红豆蔻,g
牡蛎海藻,g
金铃炭,"克,g"
白茄根,克
绿萼梅,g
净海藻,g
凌霄花,"克,分"
灼白芍,g
面东采摘红肥者,None
安锡在上,None
陈槐花,两
川当归,"两,克,None"
甘草粉,g
大当归,两
石龙芮,"两,分"
芝麻油,斤
荠菜花,g
水浸,"克,None"
海螵蛸,"None,g,克,铢"
鸡金,g
明净松香,斤
黄苓,g
生犀,克
紫胡,g
山布瓜根,None
海蛤,"两,两半,分,None"
金果榄,条
建莲,克
苦胡麻,升
肉苁蓉,"g,两,钱,两半,None,克,斤"
龙葵,g
麦冬,"克,钱,石,g,None,两,分,两半"
全蝎,"钱,克,g,分,个,两,None,枚,条"
生龙牡,g
味于银锅中以慢,None
净蝉衣,g
穿山龙,g
黑牵牛,"None,两,克"
杜仲,"钱,克,g,合,钱半,两,钱5分,None,份"
炒五味子,g
川槿皮,None
干荷叶,g
只,None
陈粟米,合
候锡成灰,None
山萸,"g,钱"
破故子,"g,两,两8钱,分,克"
食盐,None
生寒水石,g
芙蓉叶,"None,克"
茅香花,两
防葵,分
潞参,克
苏叶,"克,g,钱,两,None"
同生姜,片
姜汁拌为饼,None
香附,"钱,克,None,g,钱半,两,合,两8钱,斤"
远志,"两,None,钱,克,g,石,分,钱2分,两半,钱5分"
酒炒菟丝子,克
深红琥珀,两
荆芥两半,None
绿豆,g
巴豆仁,粒
萆薢,"g,分,克,两,钱"
莱菔子,"克,g,钱,分,None,两"
水匪子肉,g
浮萍草,"None,g,钱"
胡连,"克,g,两,分,钱"
红塘,g
乌韭,g
炮甲片,g
熟尿石膏,g
仙茅,"g,None,两"
青葙子,"克,钱,两,分,合"
淡附片,g
炮山栀,g
水牛角,"g,两,两半"
肉桂心,分
炒黄耆,两
四物汤加桃仁,None
丽参,钱
百合柴胡,两
黄芪,"两5钱,两,克,g,合,None,钱半,分,钱,两半,钱2分,～15克"
油,两
胡频叶,g
制蚤休,合
炙柴胡,g
南沙参,"g,克"
白茯,None
生薏苡仁,g
川楝子,"克,g,个,None,石,钱5分,两"
卷柏叶,两
金牙,两
莶草,g
炙甘,分
扇之,None
橘白,None
女贞皮,g
川木香,g
焦山查,g
人参或党参,g
宣黄连,两
槐花子,两
广角粉,克
勿令透气,None
切作脍,None
酒黄芩,"g,克,None"
生黑豆,g
草决,"钱4分,克"
冬葵子,"钱,克,g"
