雄黄,"钱,克,g,两"
黄连,"克,分,g,钱5分,钱,None,两,斤,钱2分,钱半"
于生铁铫子内慢火炒令干,None
皂荚水泡,None
冬葵子,"两,克,g"
茯神,"克,g,石,钱,分,两"
山栀仁,None
焦栀,"None,克,g"
瓜篓皮,g
山奈,"钱,两"
白豆蔻,"g,分,两,None"
大蜜枣,枚
槐角,"两,None,g"
茅根汁,升
虎头骨,两
化橘红,"钱,g"
鲜羊肝,千克
山栀子仁,"None,两"
防己,"None,两"
用甘草水飞,None
诃子皮,分
鱼腥草,g
