车前子,"克,None,g,两,分,钱,两半,石"
以鹿角胶代之,None
葛根,"分,None,-30克,克,钱,两,g,两半,钱半,斤"
%儿茶,g
猪牙皂荚,两
炒黄,克
枇把叶,克
炒侧柏叶,None
童便炒香附,克
杜仲,"g,克,钱半,钱,分,两,铢,两半,None,两5钱,钱5分"
青果炭,"None,g"
14,None
菔子,g
恒山,两半
熟军,"g,None"
珍珠末,"g,钱"
白芽根,g
大朱砂,克
固真丹,None
舶上茴香,"两,克"
川黄莲,g
犀角屑,"分,两,克"
生枳壳,"钱,克,～5克"
鲜荷梗,None
犀角,"克,None,g,～6克,两,分,钱5分,两半"
紫诃车,g
煮甘草味淡取出,None
地米,g
飞净去渣,None
干饴糟,斤
椿白皮,"克,g"
刮去浮壳,两
知母,"g,克,None,两,钱,石,分,斤,两半,钱半,尾"
蜣螂,"克,枚,None,个"
水红花子,g
金桐叶,None
粟米,"两,斗"
藤黄,None
川红花,g
好清酒,None
阉鸡脚筒骨,根
山茵陈,None
茵灵芝,g
去巴豆,None
沙糖,None
吐温,ml
每盘一小钟,None
故纸,"两,钱"
太子参,"克,g"
楠皂自然水,None
北葶苈子,g
玉丹,分
豆衣,g
青娘子,个
大艾,两
穗,None
炒黄柏,"g,克"
蕤核仁,克
管仲,两
麦蘖面,两
斑蝥,"两,个"
炙微黄,None
生桅子,g
酒柏,"None,克"
炒荆芥穗,None
干虾蟆,"None,两"
姜滓,None
芎须,两
砂锅内蒸半日,克
稀蔹草,g
玳瑁,"g,石"
鸡子,None
鲜牛奶,克
功劳木,None
金顶砒生,钱
东向侧柏叶,None
甘遂,"两,克,None,钱半,g,钱,分"
生化汤加连翘,None
怀熟地,钱
箭根薯,g
老鼠刺根,钱
炮牙皂,g
两半,None
姜汁淹,None
青小米,None
干薄荷叶,两
鲜芦根,"克,两,厘,g"
茯苓二十,两
刮去粗皮,None
氯霉素,g
长白参,g
山苦参,g
枯巩,None
紫花地丁,"g,克,None,钱,两,～15克"
麦饭石,分
生耆,钱
椿皮根,g
菠萝香精油,钱7分
乘热浸,None
豨签草,g
制大黄,"克,g"
蚌粉,"两,钱"
去心膜,None
鸭趾草,g
酥炙,分
汉中木防己,两
炒熟地,g
入窖不郁,None
？？菜叶,None
酒制大黄,g
炙枇杷叶,g
炙紫菀,g
先熬枯去渣听用,None
白蜜小半盏,None
当归身,"钱,None,克,分,g,两"
牙消,"克,钱5分,钱,None,两,钱半"
煅瓦楞,g
田菊,g
瓶子上注一小眼,None
北枣,斤
寸截,None
同结为砂子,None
半煮至汤干,克
黑姜炭,g
去滓成胶,None
净黄升,钱
细通草,石
粉花,两
土红蜡,g
生姜黄,g
黑矾,"g,分,None,两,克"
狼毒,"g,两,分"
漏芦,"None,两,克,g,两半,钱"
鲜牛蒡草,g
酒炒白芍,g
去子,None
红板归,g
白术,"克,g,钱,钱2分,None,重,石,分,两,两半,钱半,钱5分,铢,～30克,斤"
小续命汤,None
臭椿根皮,两
蒸令熟,None
火硝,"None,g,-2寸,钱,两"
生姜汁和作饼,两
与金铃子肉同炒至金铃子深黄色,None
鹿角片,g
黑脂麻,两
盐炒,None
用香油炸枯去滓滤净,None
刺力,"g,None"
藕汁,"毫升,合"
吴蓝,两
上共一处和匀,None
90,None
白信石,"g,钱,两,分,克,钱半"
苏花,g
荆齐穗,两
赤石腊,两
海昆布,克
车前叶,两
汤洗,None
小苏打,g
白药煎,钱
红铅,钱
雄黄末点醋,None
在汁中浸,None
梓朴,斤
去盐不用,None
白巩,g
天雄,"两,克,钱,两半,None"
鲜凤尾草,根
炒延胡索,g
当归,"克,None,g,两,钱,kg,钱5分,分,两5钱,两1分,-5钱,两半,千克,钱半,～9克,铢,两4钱"
以完为度,None
用淫羊藿,斤
南木香,克
真桑寄生,两
趁黄柏,g
胡桃肉,"两,克,g"
上梅冰片,钱
蝉蜕,"None,分,只,钱,克,两,g,个,枚"
好槟榔,两
白花败酱草,g
去姜,克
鹿角霜,"克,两,g,斤,分"
自然铜,"None,钱,两,克"
石中黄,两
存性,None
栝萎根,g
当门麝香,钱
百部,"g,None,分,两"
柞木枝,钱
生葱头,根
宣黄连,两
智草,分
以面裹嫩熟,None
羚羊角粉,g
珠兰茶,两2钱
麋角,两
归身炭,钱
萝卜,个
藤梨根,"克,g"
川五灵脂,分
虎刺,g
天麻糖浆,毫升
丛枝蓼,g
潞州人参,克
乌犀角屑,分
西诃柳,g
生明乳香,"克,g"
青箱子,分
白丑头末,两
一半为衣,None
繁缕,g
紫背天癸,"升,g"
鳖甲生地黄当归白芍川芎,None
生薏米仁,g
芒消,"None,～10g,克,分,两,两半,钱"
马齿览,g
以上用水,斗
回,None
光杏仁炙僵蚕,g
昆布,"克,None,g,两"
杏仁?克,None
天麻,"g,None,钱,两,分,克,钱半,双"
松石,g
牡荆子,"铢,两"
当归头,g
莪术,"克,钱,两,g,None,分,钱半"
制胆南星,g
槐花,"两,克,g,None,分"
煎汤浸星,克
蛤壳,"两,克,g,None,分"
酸草子,None
了哥王,g
地龙肉,"克,钱"
和肉末,克
乳汁浸,None
制半夏,"克,g,千克,钱,钱5分"
鳖甲,"g,None,两,分,两半,克"
黄果根,g
广郁金,"钱,g"
鲜狗胆,个
核桃肉,克
白约,g
擢麦,g
白石英,"两,两半,分"
以酒,升
落得打,g
