苍术,"克,g,两,钱,None,铢,钱2分,斤,两半,分"
车前子,"克,g,两,分,None,钱"
葛根,"钱,g,两半,克,石,升,分,钱半,钱5分,None,两"
重楼,"g,克"
胆矾,克
大蒜,头
枇把叶,None
鳖头骨,枚
芸苔子,"钱,两"
阔,分
柿蒂,钱
菔子,g
黄芩,"钱5分,g,克,分,两,None,石,斤,钱,两半"
雌黄,两
节芭草,两
炙蜣螂虫,g
白芽根,g
净麻黄,"钱,g"
焦三仙,g
大朱砂,克
白盐,两
再下后药,None
甜瓜蒂,None
用甘草汤炮,None
紫石英,"克,None"
干地皮,g
剪草,钱
%轻粉,g
紫诃车,g
京墨,钱
预知子,g
廉珠粉,分
取自然汁,None
蜜炙桑叶,g
好川乌,枚
蘘荷根,两
先排枣一重,None
以上为末,None
紫荆皮,"None,克"
蜣螂,"对,枚"
瓜蒌皮,"克,g,石"
紫大戟,None
片术,克
紫厚朴,钱
炒苍耳子,g
母蛎,两
射干,"g,克,None,分,两"
干胭脂,克
山茵陈,钱
真川朴,克
白蔹,"两半,两,None,分"
陈茶叶,钱
紫苏,"克,None,g,分,钱半,钱,两"
太阴玄精,两
浙贝,"g,None,钱,斤8两"
透骨草,g
蔗糖,None
猪蹄,只
瓜篓皮,g
藁本,"g,两,克,钱,分"
阴地蕨,g
生姜自然汁搜成饼,None
鹅不食草,"g,None"
椒,分
麸炒,两
牛角鳃,两
斑蝥,"分,枚,个"
酒柏,None
胆酸,None
野台参,钱
玄茯苓,g
研牛蒡子,g
安息香,"两,钱,None"
白豆蔻,"g,克,钱,两,None"
猪胆,"None,枚"
粘子,None
大米粉,克
鸡子,枚
鲜半边莲,g
头,克
甘遂,"g,None"
王锦蛇,条
柿饼,None
250,None
醋制甘遂末,g
老鼠刺,g
急以瓷碗热盖,None
制半夏,"g,两,克"
氯霉素,g
生远志,g
紫花地丁,g
枯矾,"钱,克,None"
不灰木,两
童子小便,升
生地黄汁,"两,升"
明参,g
盆消,钱
桔更,g
遍去滑,两
前胡,"None,克,g,两,分"
制大黄,"g,None"
蚌粉,None
牵牛粉,两
草豆蔻仁,克
炒蒲黄,g
生甘草生地黄,None
胃苓汤加桑白皮,None
条黄芩,钱
竹沥,"瓢,匙"
川牛膝,"两,g,None"
地龙干,g
茯苓,"钱,两,g,克,None,钱半,分,斤,两3钱,钱5分,两半,～15克"
炙枇杷叶,g
炙紫菀,g
金顶砒,分
百合,"克,g,斤,None,合"
牙消,两5钱
桑螺蛸,克
蛇含石,分
真川芎,分
虎杖,"g,克"
捣丸,None
去甲,两
红梅瓣,分
生地黄炭,g
益母草炭,g
酒连炭,钱
全竭,g
去皴皮,None
黄芩苷,None
南天烛子,g
麻黄浸膏,g
樟脑,"克,两,钱半,钱"
炒令黄燥,None
白马鬃,两
秦？,g
梅花片,片
炙马兜铃,g
少欹,None
蜜陀僧,两
苣胜子,克
柳根白皮,两
槲叶,两半
川芎,"g,克,钱,两,None,钱5分,分"
千里光,g
艾汤制,分
半边莲,g
刺力,g
独蒜,颗
木瓜,"分,钱,枚,克,None,g"
石楠叶,两
桑根白皮,"克,两,分,两半"
即加,分
白信石,"分,钱,两"
干山药,钱
桑枝,"g,两5钱,None"
褐子灰,None
采,None
龟板,"克,两半"
蟾蜍,"只,钱"
同矾研,None
蚕砂,克
天雄,"分,两"
当归,"钱5分,克,g,两,钱,None,分,两半,两5钱,钱2分"
京赤芍,None
南木香,"克,两"
胡桃肉,枚
蝉蜕,"个,克,g,None,枚,铢,钱,两"
紫河车,"g,两"
石燕,枚
净蝉衣,g
自然铜,None
海桐皮,"两,g"
防葵,两半
闹杨花,两
苏子,"钱,钱5分,None,g,克,分,两"
覆花,"两,g"
百部,"千克,g,石,None,两,分,两5钱"
败酱草,g
生芡实,g
生硫黄,斤
灸甘草,g
兰花草,g
真龙脑薄荷叶,两5钱
川楝肉,两
苏合香,None
油炒,个
爵床,"None,g"
扁蓄,"g,None"
白炉甘石,克
麋角胶,两
肋者尤妙,None
鸦胆子,g
黄份,g
鹰屎,两
蜜枇叶,g
枯黄芩,None
茶盏,None
艾叶,"分,两,None,g,克"
细茶叶,g
芒消,"None,钱"
生甘草稍,g
昆布,"克,g"
白鲜皮,"g,两"
连翘,"None,钱,克,g,斤,两半,两"
天麻,"g,克,钱,两半,两,None,分"
皂角荚,None
全栝楼,g
牡荆子,两
莪术,"两,g,None,钱,两半,克,分"
锉细,两
嫩苏梗,克
蛤壳,"g,克,钱,None,两"
平胃散,克
羊粪,个
香薷,g
井泉石,钱
鳖甲,"两,g,None,克,分"
真血珀,钱
杀虎,None
白约,g
降香,"g,斤"
//,None
待冷即取出,None
熟地,"g,克,两,None,钱,～15克,分"
瓜壳,g
虻虫,"两,分"
草蔻,"克,两,g,钱5分,None"
酸枣仁,"g,克,两,钱,两半"
生山栀,克
建曲,g
蜜炙白术,g
炙令黄,None
盐,"斤,两"
公丁香,"克,分,钱,粒,g,None,两,枚,钱半"
地枫皮,g
小麦,"g,粒,克"
川巴豆,g
罗汉松叶,两
淫羊霍,g
真豆粉,克
赤石脂,"克,g,两,分,两半"
栀壳,g
盖之,None
龙胆草,"g,None,分,克,钱,两"
煅文蛤,钱
南天镯子,g
通草,"g,克,两"
萝藦,两
山萸肉,"g,克,两,钱半,钱"
白扁豆,"g,两,None,～30克"
鼓,克
\蚤休,g
绿豆衣,"克,g"
络石藤,g
俱不犯铁,None
甘松,"两,g,钱,斤,None"
白梓皮,g
番泻叶,g
味相和炒,None
生姜片,g
生于术,克
仍将汁入滓内,None
佩兰,g
硝石,"g,两"
用好酒浸,None
仙鹤草,g
竹沥半夏,克
去人参,None
紫草,"克,g,None,分"
生沙苑,两
白花蛇舌草,"克,g"
穿山甲,"两,钱,g,片,克,分,只"
白泡参,g
候冷取出,None
人参,"钱,g,克,None,两,分,两半,钱半,两3钱"
伏牛花,钱
去豆澄清,None
炙露蜂房,g
乌梢蛇,"两,具,条,g,克"
蕲蛇,"g,两,None"
人中黄,None
炒黄连,克
炙桑白皮,g
防已,"g,None,分"
龙葵,g
桑螵蛸,"g,两,分,个"
荆芥,"None,克,千克,g,钱半,钱,分,两"
钟乳粉,两
香菇,g
白密,g
山栀子叶,g
旋覆花,"两,克,g,分,铢"
矮地茶,g
排风汤,None
荆三棱,"两,分"
海蛤粉,"g,None"
火煅食倾,None
炙黄芪,g
鲜鸡血,碗
黄牛粪,两
海浮石,g
消,克
和后药末,None
酸枣,g
龟版胶,两
昼夜,None
紫参,克
飞面,钱
斑螫,个
于银器中慢火熬成膏,None
瓜蒌根十,两
牛膀子,g
乳香末,分
铅白霜,钱
杏,g
鹰不扑,g
附子大者,枚
茯苓皮,"g,None"
凡士林,克
天麦冬共,两
慈竹,None
干鸡骨头,g
麦芽,"g,None,两,钱2分,克"
青竹叶,片
鸡金,g
忍冬藤,g
陈酒,升
谷精草,"None,铢,克,g"
上元桂,分
鲜皮,钱
陈仓米,撮
使君子肉,钱2分
用慢火煮,None
浙茯苓,克
赤芍,"克,g,钱半,两,钱,钱2分,None,分"
同青蛇脑小豆许或绿豆许,None
用熔银罐同煅炼,None
陈皮,"g,None,两,克,升,分,钱,斤,钱5分,钱半,两半"
炒黄芩,g
铅霜,分
乌头,"钱,斤,分,两"
黄荆子,g
皂角,"g,分,克,钱,None"
枳壳,"None,g,两,克,分,钱,两半,个,～15克"
生黄芩,g
阿胶,"两,钱,克,g,分,None"
藿香I0川椒,g
谷维素,g
生蓖仁,g
肺风草,g
绿梅花,g
犀角屑,"克,两,分,None"
铜器蒸半日,None
白莲须,钱
净洗,两
马列钱子,g
炙蛰虫,g
香油,两
清油,斤
欢皮,g
凤仙花,g
夜明砂,"分,两"
何首乌,"g,None,克,钱,两"
桅子,g
川白姜,两
蜂蜡,"两,两半"
松子仁,克
竹刀刮去粗皮,None
白砂糖,g
熟半夏,None
玉米,g
勿断,None
炒香附,g
淡豆豉,"None,g,两,克,钱,合,升,粒"
★子,g
干地龙,g
芒果叶,g
拣去茱萸不用,None
色转为度,None
醋淬,None
大茴香,"两,斤"
硇砂,"分,两,None,钱"
大青叶,"None,g,两"
金荞麦,None
麻苓,g
土培,None
水润一宿,None
真犀黄,钱
忽麻子,None
淫羊藿,"g,两,两半,克"
胡颓子,g
吹去灰,None
痢特灵,片
榆枝,钱
丁头代赭石,克
荔枝核,g
茱萸,"两,None,分"
川姜,钱
青皮,"None,g,两,克,分,钱,钱半"
棠球,两
冰糖,"g,None"
三奈子龙脑,None
茯苓钱半,None
涂酥,None
水银,"两,克,分"
大附子,"两,None,枚,钱"
干菊,钱
王不留行,"g,石"
辛夷花,"None,克,g"
炼猪油,g
白苏子,g
金箔,片
蜂蜜,"None,g,ml,升,斤"
水蛭,"g,两,分"
樟丹,"分,两,钱,克,g,斤,None"
麻黄,"None,克,钱,g,两,千克,石,分,两半"
虎粪内骨,钱
酒浸,None
沙苑蒺柔,铢
浮小麦,"g,撮"
去斑蝥不用,None
皮白,g
熊胆,"钱,g,分"
西河柳,"None,克"
炒鳖甲,g
川梧子,g
桕油烛,两
薤白,"g,两"
味同捣烂,None
芦根,"钱,克,g,None"
白矾,"克,两5钱,两,g,钱,None,分,斤"
蒸一次,None
红糖,g
加木香,None
瓜篓,g
用第一淘米泔浸一伏时,None
银黝,钱
桃红,g
小蓟,"克,g,钱5分"
捶破,None
石斛,"g,两,斤,分,克"
代赭,两
蚱蝉,枚
杧果核,g
珍珠母,None
瓜萎皮,g
光桃仁,"钱半,g"
沙糖,两半
陈油,斤半
鸡蛋,个
炙微黄,None
土元,g
浙茯苓如克,None
鲜芦根,g
以白瓷器贮,两半
合欢皮,g
巴豆肉,分
当归身,"克,钱,钱5分,g"
菜菔子,g
毕澄茄,"两半,克,钱"
煮取,升
全荞麦,g
灯草灰,钱
白酒,None
小续命汤,None
夜交藤,"g,克"
明丹砂,钱
大白梗,g
鸡苏叶,斤半
红花,"克,g,None,钱,两"
晚蚕沙,克
入黄丹,钱
布楂叶,g
枣肉搜和成饼,None
贯众,"g,两,克,斤"
菜油,ml
骨碎补,"钱,g"
黑料豆,两
芦荟,"钱,钱2分,两,分"
结猪苓,None
白芥子,"g,克,钱,两,分,None"
百药煎,分
元胡,"g,两,钱半,钱,两半,克,None"
风化西月石,g
砂仁,"None,g,两,钱,克,两半,两5钱"
核桃仁,"个,克"
党参,"两,g,克,钱"
萆?,g
炒黄,None
以酒浸,None
苁蓉,"None,两"
枇杷叶,"两,克,g,None,石"
硫黄,"分,两,钱"
同煮熟,None
雷丸,"克,两"
鬼箭羽,"两,斤,克"
常山苗,握
赤狗脑骨,两
干蓝,分
苏梗,"None,g"
益智仁,"g,两,克"
川羌活,两
木鳖子,"两,克"
茶叶,"克,g"
荷鼻,None
橘叶,g
酒元胡,g
候枣极烂并何首乌稍软,None
醋煮,个
半枚,None
刮去皴皮,两
滚水同泡二小时,None
砒,分
入莨菪子填满,None
巴豆,"粒,两,个,钱,分,枚,None"
苦丁茶,None
苏半夏,g
虎脑骨,两
桂枝,"g,两,克,分,钱"
土槿皮,g
饭上蒸,None
醋制,分
小茴香,"钱,克,两,钱半,None,分"
荆沥,升
榨树皮,g
瓦楞,g
蜜炙麻黄,g
制月石,分
三叉苦叶,g
蒌皮根,克
黄荆沥,瓢
如此者七次,None
红花子,两
生漆,斤
桑黄,克
波寇,g
清炙草,分
候干,"克,None"
山栀子,"克,两"
土硫黄,斤
敕冬花,g
野菊花,"None,g"
五苓散,克
绯绢,尺2寸
炭委,钱
姜黄,g
石南,两
密陀僧,"斤,两,钱,两半"
猪蹄甲,None
炙白前,g
海金砂,"g,两"
青菊叶,None
兽骨次之,None
附片,g
桃仁,"g,None,两,克,粒,钱,分"
山茨茹,g
线串,叶
瞿麦,"斤,g,石,两,None,克"
霜打丝瓜,钱5分
干漆,"两,分"
陈松萝茶,钱2分
瓜萎,g
乌药,"克,分,钱,两,None,钱半"
生白术,g
省头草,g
折作半寸,None
威蕤,两
地榆,"g,两5钱,两,分,两半"
赤获苓,两
砂糖,两
法夏,"g,None,钱"
炒干姜,石
大蓟,"斤,g"
将,None
龙齿,"两,None,合,分,g"
青州干枣,枚
山柰,钱
白人参,g
藁木,两
回克,None
川木通,"克,g,两,None,钱,斤,两1分,分"
炙海螵蛸,g
