雄黄,"g,None,钱,两"
[方源]古方化裁,None
苯巴比妥,g
川黄柏,克
炒莱菔,g
伏龙肝,两
前胡,"两,分,钱,克,g"
嫩钩藤,克
人乳,None
真甘草末,g
净红升,两4钱
当归尾,"克,None"
泉神曲,g
观皮,g
生干地黄,两
熟半夏,None
附子,"分,两,钱,枚,克,钱半"
苍术,"克,两,g,分,两半"
生苡米,g
山楂子,两
车前子,"两,克,g"
葛根,"None,克,g,两"
益母草,"克,g"
鸡汤,克
杏仁,"克,两,千克,g,钱半,分,钱,None,枚"
重楼,克
猪牙皂荚,两
咬咸酸味,None
构腾,g
生箭耆,两
乳粉,两
真川贝,钱
赤小豆,"g,合"
松香,"分,两"
恒山,两
三棱,"两,g,钱"
裹前辰砂,None
雌黄,两
用细辛,分
头红花,两
秦艽,"克,g,钱,两"
附片,"g,克"
瓜萎,g
焦三仙,"克,g"
防己,"两,g,分,钱,克"
厚薄如钱,斤
舶上茴香,两
犀角屑,两
紫石英,"g,两"
川羌,"克,两,g,分,None"
犀角,"克,两,分"
赤勺,g
屎蜣螂,None
椿白皮,None
知母,"g,两,克,None,钱"
九蒸九曝,克
去丝,克
射干,g
茵芋,两
白金丸,g
炒绿豆面,g
钩腾,g
白蔹,两
小野鸡尾,g
贯众,g
紫苏,"g,None,克,钱"
宿即出,None
故纸,两6钱
太子参,g
芽茶,钱
猪苓,"g,两"
透骨草,g
用大瓷盘取起,None
黄连,"两,钱,分,g,千克,克,石,None,升,两半"
白面粉,克
鹅不食草,两
更捩汁银石器内,None
五倍子,"None,钱"
斑蝥,"分,个,钱"
茯神,"g,None,克,两,钱,分"
山栀仁,"分,两"
刺猬皮,两
露蜂房,两
江子肉,两
常山,"分,钱,斤,None"
白豆蔻,"克,g,分"
天冬,"None,千克,克,g,钱"
干蟾皮,g
鱼腥草,g
乌犀角,钱
用瓷器蒸,两
乳香末,克
巴豆,"粒,钱,两,分,两5钱"
郁李仁,"g,克,两"
