雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
阴地厥,两
葶苈子,"None,钱,钱7分,克,分,两,两半,g,合"
纯苏叶,两
入巴豆,粒
制香附子,g
顽荆,两
羊桃根,克
照前拌酒,None
母丁香,"两,g,克,个,钱,分"
净香附,钱半
用巴豆,"粒,克,个"
用糯米泔水浸,None
书有生白芍,None
清麻油,两
瓜蒌壳,g
硬脂酸,g
羊毛脂,两
猪芩,g
有艾叶,None
酒精,ml
干熟地黄,None
无蛇脑,None
韭菜,"克,斤"
拣净,None
泥泊金,g
活蝎子,个
山桅子,g
淬七返,None
炒木鳖壳,g
潼刺蒺藜,g
僵蚕末,钱
紫草膏,g
以绵滤去滓,None
生贝母,g
祁艾,钱
三日,None
半钟乳粉,两
入犍猪肚内,None
拌酒蒸晒,None
四叶参,g
云茯茶,g
炒砂仁,g
佛手相,g
明雄,"两,钱"
猪牙皂角,"钱,克,None,分"
紫雪,分
漏芦根,两
白茄根,None
川羌活,"两,g,钱"
巴霜,"克,钱半,厘,None,钱,字"
硼砂,"钱,两半,g,分,克,两,None,钱5分,石"
小雄鸡,只
辅料,None
生山甲,"两,g"
紫雷丸,分
鲜生地,"克,两"
橘络,"g,钱"
云母粉,两
黄柏,"克,两,g,None,份,分,钱,两半,斤,钱半,两5钱"
散血草,g
大半夏,"两,克"
同捣,None
照前煎汤,None
大诃子,个
米下,None
紫葛,两
臭牡丹,None
棉花子仁,两
桔便,g
连皮茯苓,g
细切,"None,两,克"
大川芎,"g,两,钱半"
好黄酒,斤
炒甘松,克
地菘苗,两
将牛膝同铺黑豆内蒸之,None
味用米醋,升
慢火炒如珠子白色,两
老蔻,"钱,两"
从巳至午,None
绵耆,钱
梨汁,"None,毫升"
即用枝,斤
贯芎,两
—,None
血涂炭,g
余次,两
青竹茹,"升,两"
麦麸,g
杜蒺藜,克
白砂蜜,斤
取白,None
麻黄,"两,克,钱,两3钱,None,g,份,分,两半,钱半,千克,铢,斤,株"
没石子雌雄,对
筛去灰,None
赤头蜈蚣,条
蛇床子,"两,None,克,g,钱,分,两半,合,钱半"
生月石,None
京三棱末,两
大两,None
炙桂枝,g
大蓟汁,两
枪消,两5钱
桑椹子,g
马蔺根,两
炉甘石,"钱5分,g,分,克,两,None"
漉出,None
麦门冬苗,两
人耳中膜,None
草解,g
金铃炭,克
草梢,"分,钱"
凌霄花,"克,分,两,g"
蒙石,g
令膏凝,None
白瓷药,两
甘草粉,g
芝麻油,g
去须及头,寸
淡天冬,钱
海螵蛸,"g,None,克,分,两,钱"
铅粉,"钱,分,两,None,克"
黄苓,"g,None,两,克"
生犀,两
盐炒车前子,g
青州大枣,个
豆卷,g
金液丹,None
南香附子,斤
淡条芩,None
用酸醋淬透,两
建莲,克
炙军,钱
明天冬,g
入汁化开,None
大芎?,None
麦冬,"两,克,None,钱,分,石,g,两半,升,两18铢,斤,钱2分,铢,两5钱,两3分"
桑花叶,两
全蝎,"两,尾,None,两半,钱,克,g,个,份,枚,分"
鹿角粉,g
肉灰蓉,两
以慢火熬约至,None
椿皮炭,钱
穿山龙,g
新罗参,"两,两半"
碗盛好酒,升
耆,None
取肉作饼子,None
猪肉,两
土炒干蟾,g
珍珠层粉,g
制胆星,g
醇酒,升
拌楝肉,None
蜂窠,"克,分"
海蛤,"两,分"
破故子,"两,None,尺,g,千克,克,两半,两8钱,钱,分,钱半"
百附子,g
生桅子,g
同茯苓,None
糯米炒,克
真檀香,两
葵花,None
來菔,g
生香附,"两,克,g"
日干或焙干,None
远志,"克,两,g,None,钱5分,两半,分,钱,钱半"
炒党参,g
丁香枝杖,两
绿豆,"g,钱,粒,克,None"
巴豆仁,"g,钱"
卷柏叶,两
螺壳,分
莱菔子,"～10克,两,克,g,钱,斤8两,None,升,两半,分,钱5分"
用糯米粥浸一次饭久,None
水匪子肉,g
用童便浸,None
皂荚子仁,两
五色龙骨,两
候古文钱淬尽,None
炮甲片,g
白牡丹根皮木,克
漏篮子,"分,两"
生附子,"钱,g,None"
炮山栀,g
水牛角,"g,两"
蝮蛇脯,分
山桂,斤
草节,钱
白术干姜,克
苦楝根末,钱
水煮熟地,None
炒莲仁,分
皂角荚,g
用熟艾,None
南沙参,"g,钱"
白茯,"两,None,钱"
生薏苡仁,g
黄蜀,None
钱半,None
加酒柏,两
煅乌贼骨,g
正桂,None
米泔浸过,None
乱发灰,"分,两,钱"
无灰酒,升
北亭,两
玉霜,两3钱
生何首乌,钱
每日易水,两
糯稻根,g
绞股蓝,g
牛胆南星,克
形色翠碧,寸
圈,None
紫草根,"克,g,钱"
麸炒微黄,None
炮干姜,g
佛座须,None
肉豆蔻,"g,分,两,钱,克,个,枚,钱半,两半,None"
蔗浆,毫升
当归l,g
阿魏,"两,克,分,钱,g,None"
李,茎
捶微破,None
琐阳,"钱,两"
麋角屑,克
关木通,g
寒水石,"两,g,None,两半,钱,克,分"
川巴豆肉,钱
鸡矢藤,g
乌犀屑,两
陈广皮,两
菟丝子,"两,None,两6钱,克,g,两半,分,斤,钱,钱半,两5钱"
怀熟地黄,"斤,两"
天台,None
紫柄冬青,g
鸡子大一团,None
挂当风处阴干,两
淡香鼓,克
放铜勺内,None
蒌仁泥,g
