雄黄,"g,钱,两,分,克,钱5分"
绿豆,"钱,两"
巴豆仁,粒
萆薢,"g,两,钱,克"
生地竹叶,None
莱菔子,"克,None,g,粒,两"
铅,分
猫头骨牙爪,副
去皴皮,None
漏芦,"克,None,g,两,分,两半"
胡连,"g,两,钱,分"
先入全蝎,None
桑椹清膏,g
炮甲片,"克,g"
三叶酸,斤
次入蜜,两
仙茅,g
童便,碗
桑枝,g
生附子,g
花蕊石,g
淡附片,g
刺猬皮,"g,分"
楮实子,"两半,升,None"
摊令气歇,None
肉桂心,钱
白豆蔻仁,两
盐水浸,None
线,None
生薏仁,g
黄芪,"克,钱,g,斤,两,两半,None,钱5分,分,两3钱,钱半,石"
艾叶,"g,克,None,两"
鸡蚕壳,g
白细辛,钱
鹿角,"None,克,g,两"
白头翁,"g,分"
生薏苡仁,g
全蝎,"克,g,个,两,钱,-12克,None,枚"
柏子仁,"g,钱7分"
葱白,"寸,茎"
薄荷,"None,g,克,分,两,钱"
诃子,"None,g,克,钱半,两"
小油,两
神曲,"克,g,None,两,钱,分"
河西米,升
藁本,"钱5分,两"
待至次年,None
煮令芽出,None
伸筋草,g
瓜蒌仁,"克,None"
肉桂,"两,克,钱,分,g,None,两半,钱半,钱5分"
巴戟天,"g,斤,两半,两,None"
地龙,"克,g,None,-25克,两"
诃黎勒皮,"克,两,分"
生龙脑,钱
青橘,g
基草,g
苏木,"克,g"
肉豆蔻,"两,克,None"
蔓荆子,"两,克,分"
足同煮,None
熟谷芽,钱
局方四物汤,两半
上梅花片,分
山豆根,"克,g"
桔梗,"None,克,g,份,钱,分,两,斤,钱2分"
雄蚕蛾,两
没药,"克,g,两,两半,None,分"
石菖蒲,"g,钱,两,克,None,分"
黄皮果核,g
马齿苋,"克,g"
寒水石,"克,None,g"
鹿香,g
鸡矢藤,g
紫金,g
制厚扑,g
菟丝子,"None,g,两半,两,钱"
挑仁,枚
松节油,ml
低榆,g
生玳瑁,两
冬葵子,"g,两"
荔枝核,"克,g"
昆希,g
舌呆草,g
火消,"钱,克"
阴干百日,None
虎仗,g
乳癖消,None
北柴胡,g
水晶,钱
邯郸白垩,两
黄糖,g
当归尾,"g,克"
酒淬,None
生珠,None
生山甲,g
生干地黄,"克,两,None"
山药片,克
阿魏,"克,钱"
附子,"克,g,个,两,钱,分,钱5分,枚,None,两1分"
苍术,"克,g,分,钱,None,两"
杨枝,厘
车前子,"克,g,None,钱,钱半,分,两"
红曲,"两,钱"
葛根,"分,克,g,None,两,钱"
益母草,"克,g,钱"
杏仁,"g,钱,None,两5钱,分,枚,克,两,个,钱半,斤"
重楼,g
胆矾,"两,钱半"
炙黄芪,g
炒冬术,g
芸苔子,g
连皮桃仁,克
苜蓿,克
候豆胀为度,None
寄奴,None
制甘遂,克
日采,None
以酒半盏,None
苦楝子,None
赤小豆,"g,克,None,两,合,两1分"
南枣,枚
黄芩,"分,克,None,g,石,两,钱,钱2分"
三棱,"克,None,g,文,两,分"
南硼砂,None
秦艽,"钱,g,两"
海蝓壳,g
白芽根,g
焦三仙,g
甜瓜蒂,"钱,个"
犀角屑,"两,分"
紫石英,g
炒白芥子,g
川羌,"钱,克,升,g,分,两,None"
犀角,"两,克"
紫诃车,g
赤勺,g
壁虎,"g,条"
银朱,钱
细梗胡栀子,g
白芹子,g
拣去斑蝥,None
豆牛子,-7枚
方入黄蜡,两
