雄黄,"钱,克,字,分"
苦丝瓜,条
牛骨髓,g
狸肉,分
朴消,"None,克"
经,None
海螵蛸,钱
去角,升
寿亲养老新书,克
入净砂锅内,None
花蜘蛛,None
山萸,钱
牛蒡子,"两,None,g"
生香附,两
泽泻,"两,分,两5钱,None,克,g"
乳香,"None,两,钱半,钱,克,g"
肉苁蓉,"两,None,钱,斤,克,g"
吊风根,g
麦冬,"两,钱,g,两2钱,None,克,两半,分"
去衣,None
川楝子,"两半,两,None,克"
真蜜,斤
用长流水净洗,None
放瓦罂中,None
胖大海,g
甘州枸杞子,两
煮干,斤
涂生姜汁,None
去虫,None
川黄柏,两
以真酥,两
杜仲,"两,钱,克,None,分,g"
细锉,两
柳枝,"握4两,厘"
醋,升
生麦冬,None
紫苏,"钱5分,两,g"
北连翘,钱
破故子,"两,g,钱,两2钱,两半,尺,None,两5钱,克"
食盐,两
天冬,"两,钱,两1钱,克,g,None"
海龙,g
准山药,两
苏叶,g
用牡蛎,两
嫩黄耆,两
黄色为度,None
香附,"两,钱,g,斤,克,两2钱"
石榴皮,具
远志,"两,g,分,钱,克,斤,两半,None"
八角枫须根,g
细研为粉,None
炒蒲黄,g
苏子,"克,g"
萆薢,"两,分,None,克,g,钱"
莱菔子,"None,斤8两,g"
良方,克
去皴皮,"None,两"
白蜂蜜,千克
胡连,"两,克"
火麻仁,"千克,克,两半"
白矾,"None,两,分,铢,g"
香薷叶,升
入药在内,None
入前三味调匀,None
如此凡七次,None
同附子入青盐,两
用猪大肠,寸
棕榈,g
枯白矾,钱
淡附片,g
刺猬皮,两半
楮实子,"两,克,g"
水牛角,"g,克"
肉桂心,分
盐水浸,钱
狼牙,分
黄芪,"两,两半,None,两2钱,千克,克,g,钱"
如干,None
桃仁,"None,g,两,克,个,斤,枚"
鹿角,"两,None,付,分,克"
莲子,"钱,两,g"
和肉末,克
破,块
牡蛎粉,钱
路路通,g
大蜘蛛,个
全蝎,"分,两,钱,g,钱半,None"
柏子仁,"两,斤,None,两5钱,克,钱"
吴茱萸,"克,两,None"
薄荷,"钱,g,两,None"
诃子,"None,两"
以瓷碗中盛,None
以净布滤去滓,None
松柏,两
广狗肾脏,g
藁本,"两,None,g"
掐断,None
候水尽,None
羊肾,"对,g"
细墨,"钱,锭"
烂研,两
肉桂,"两,钱,分,克,钱半,两半,None,g,～6克,两3钱半"
泽兰叶,两半
巴戟天,"两,钱,分,克,None,g"
地龙,"g,钱"
次煎蒸,None
甘菊花,"斤,钱,两"
煮,"升,None"
肉豆蔻,"两,枚,克,None,g"
连花蕊,两
蔓荆子,"两,None,g"
另用一瓦罂煮汤,None
锯作,寸
取皮,克
阿魏,"两,分"
桔梗,"两,None,g,钱,克,分"
雄蚕蛾,"两2钱,两"
没药,"克,分,钱半,None,钱,g,两"
赤石脂,"分,钱,克,两,g"
寒水石,g
白胶香,分
西洋参,两
待冷,None
怀熟地黄,两
炙川军,g
炙何首乌,g
鸡头粉,两
白龙骨,克
入乳拌晒,None
银箔,片
以搅烂糜似粥样,None
生白芍,g
来年经霜为妙,None
川花椒,两
饭上蒸过,None
葫芦巴,"两,两半,克"
用生姜,两
多至,钱
蒸熟,"两,None"
鹿胎,具
飞过,克
辽五味子,两
文蛤粉,钱5分
收时连带中元血,None
熟艾,克
