鳖甲生地黄当归白芍川芎,None
细茶叶,g
芒消,"g,克,分,两,升,钱"
马蔺子,分
酥炒,两
昆布,"克,g,两,None"
白鲜皮,"g,克,两,钱,None"
连翘,"g,克,两,钱,None,两5钱,分"
京赤芍,"克,钱,g"
鹿角,"None,两,斤,对"
牡丹,两
黄戍肾,对
鹿角尖,两
味同入砂罐,None
海马,g
蛤壳,"g,克"
平胃散,斤
去滓苴净,None
二色补血草,g
青连翘,"克,g"
芥穗,"两,克,g,None,钱半,钱"
香薷,"None,斤"
鳖甲,"克,两,两半,钱,None,g,枚,分"
食顷令脆,None
苎麻根,g
广郁金,g
螟蚣僵蚕,None
任火自消,None
小椒,两
降香,"g,钱"
白石英,"两,两半"
落得打,g
熟地,"None,克,两,g,钱5分,钱,千克"
瓜壳,g
去裙膜,None
羚羊角片,g
酸枣仁,"两,g,钱,None,克"
生山栀,g
姜皮,钱
火炭母,g
建曲,"g,钱"
黑豆上蒸,None
炙令黄,None
白膜,两
盐,"字,钱,分"
第,None
公丁香,"g,钱半,份,两,克,粒,分,钱,钱5分,～10克,None,两半"
干地龙,g
苦地丁,"克,两,None,g"
小麦,升
约酥,两
罗汉松叶,两
慢灰火中煨熟,None
小蓟根,"克,g"
赤白,两
白黄蜡,克
盖之,None
龙胆草,"克,None,钱,g,两,～20克"
犀屑,两
以白面同和作饼子,None
炒黄丹,钱
通草,"钱,克,g,两,钱半"
青蒿子,两
炒莪术,"克,g"
山萸肉,"None,克,g,两,两半,钱"
米囊皮,None
白扁豆,"None,两,g,钱,钱半"
茯苓片,钱
绿豆衣,"钱,g"
更研令细,None
天葵子,"g,克"
白约,g
甘松,"g,斤半,分"
栝篓根,g
麦门冬汁,升
乳汁,"分,克"
大腹并子,枚
鲜侧柏叶,克
佩兰,g
制草乌头,g
或加地骨皮,钱
人参十,两
仙鹤草,"克,None,g"
玄明粉,"钱,g,None"
蜜入银石器内与半夏末和熬,None
白莲花,两
川芎末,钱
紫草,"g,克,两5钱,钱,None,石,升,分"
木瓜干,None
石决明,"g,克,None"
秫米,粒
白花蛇舌草,"克,None,g"
饭党,钱
人参,"None,两,克,钱,g,分,钱半,两5钱,～6克,千克,钱5分"
生川乌,g
以米醋煮,None
蜜拌蒸,None
绝断劈开,千克
生磁石,g
草槐花,g
山桅子仁,克
乌梢蛇,"钱,克,g,None"
蕲蛇,"两,g"
人中黄,"两,克,g,分"
荗,两
炙桑白皮,g
猪殃殃,g
龙葵,g
金黄散,g
荆芥,"None,克,两,g,钱,分,钱半"
钟乳粉,两半
紫草根,"None,～15克,至5钱,克,g"
炒芩,None
绵黄耆,两
大附子,两
将粗铅再熔,None
陈枳壳,None
旋覆花,"g,两,分,None,两5钱"
矮地茶,g
南楂炭,g
生草乌,g
荆三棱,两
海蛤粉,g
大蒜,"None,g"
先以金箔,片
虻虫,"枚,分"
神僸曲,分
如水少,None
防风根,钱
马尾连,g
海浮石,"g,克"
苦楝皮,"钱,g"
白背叶,g
去石,分
三仙,g
肉豆蔻,"None,两,克,钱,个,分,两半"
淡豆絷,g
苦参,"克,两,None,g,钱,分,两1分"
炒黄芩,"克,g"
炉甘石末,斤
薯良,g
飞罗面,None
鲜鲤鱼,头
真山羊血,钱
鲤鱼,头
大风子,"g,None"
老羌活,None
水飞雄黄,分
麦芽,"g,～15克,分,撮,两,钱,克,None"
白羊肝,具
宣川木瓜,克
忍冬藤,"克,g,两"
谷精草,"分,g,两"
茯苓块,克
阿魏,分
地榆皮,两
防风煮透,None
浙茯苓,钱
赤芍,"g,克,None,两,钱,-5钱,双,分,两半,斤,钱2分"
山风,g
先煎炒牛膝,g
生栀仁,"克,钱,～12克"
豨莶草,"克,两5钱,None"
陈皮,"None,千克,克,g,两,钱半,分,钱,两半,把"
金钱草,"g,～20克"
麻油,"ml,斤"
生米仁,g
炒丹皮,g
桔壳,g
皂角,"两,g,钱,None,寸,分"
