雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
皂荚枝,None
杜仲,"g,两,两5钱,None,克,两半,钱,分,两6钱,钱半,两8钱"
青果炭,钱
14,None
恒山,"两,None"
炒川连,钱
蒴藋,两
艾絮,分
入余药末,两
地榆粉,g
白芽根,g
净麻黄,g
放鳖甲内慢火熬干,None
春秋,"None,分"
茅花,None
楸叶,斤
嫩儿茶,两
犀角屑,"两,分,钱"
紫石英,"克,None,g,两半,分,铢"
然后更煮,None
白马护干,两
剪草,两
犀角,"克,None,分,钱,两,g"
紫诃车,g
羊肝,"None,具"
醋白芍,g
白药煎,钱
枣肉,"分,枚"
地枣仁,g
椿白皮,"钱半,钱,g"
知母,"克,两,None,钱,分,g,石,千克,两半,钱5分,两3钱,两8钱"
别直参,g
黄栀,g
生杏仁,两
水红花子,g
入地黄汁,None
粟米,"克,合,两"
藤黄,"None,g"
环留,g
以,None
枣膏大,升
真川朴,克
仙居白术,钱
水淘,None
准小麦,g
箭头朱砂,两
太子参,"g,克,None"
银石器中熬成膏,斤
煅炉甘石,g
猪蹄,只
炒黄柏,"g,钱,克"
生地黄炭,g
白皮大萝卜,个
新钉子,个
炙陈皮,g
炒车前子,g
两半,None
酒柏,"钱,None"
菖薄,g
牛皮,None
百药煎三字,分
桔皮茯苓,g
钩藤钩子,None
淫羊蔻,两
米泔浸,"两,None"
鳖头,枚
同甘草,两
稀蔹草,g
土元,"g,份,钱,两,个,克"
夏季加凡士林,ml
白芨片,g
生怀药,g
甘遂,"g,钱,两,克,分"
调匀,None
淡附片钱半,None
春砂仁,"钱,两,克"
葶芥子,g
阿芙蓉,钱
桃树枝,寸
五竹,g
250,None
炮牙皂,g
以新瓦,片
白附,"分,None"
室女月经布,None
用绍酒,两
鲜芦根,"g,支"
入水,None
川茴香,"克,钱"
紫花地丁,"g,钱"
靳蛇,g
生耆,"两,g"
连皮苓,g
放罗底,None
苓块,钱
姜连,分
诃藜勒,"枚,两"
鸡？？胵,两半
制大黄,"g,克"
入铫子,None
酒炒,两
研砂,None
泽兰叶,"g,两,两半,克"
香蕉粉,g
黑附片,g
以鸡子,枚
小乌豆,None
羊踯躅,"两,钱,铢"
绿豆,"钱,两半,克,两,-7粒,None"
条黄芩,分
火熬成膏,None
地龙干,g
白党,两
炙枇杷叶,g
良花藤,g
芦根大,斗
锻牡蛎,g
萆薢,"两半,两,分,钱,克,g,石,None,斤"
生黄柏,g
熟子,g
木耳,g
牙消,None
煅瓦楞,g
姜炒黄连,None
乌桕,g
如遇天阴下雨,None
姜枣,None
肉巫蓉,g
慢火上熔消,None
酢泔淀,None
黑姜炭,g
制铜绿,分
入川黄连,"钱,克"
大鹅梨,枚
益母草炭,g
粉花,两
煮取,"毫升,升"
入阳城罐内封固,None
全竭,g
桑椹子,"克,g,None"
鲜地龙,条
狼毒,"分,两"
条甘草,None
漏芦,"None,克,g,两,钱,分"
鲜牛蒡草,g
酒炒白芍,克
化硇砂,两
补肾脂,g
白术,"None,克,g,两,两5钱,钱,钱5分,分,钱4分,两半,～6克,升,石,斤,两1分,重,钱半,～9克,钱3分"
用炭火,千克
用上半截连穗叶,克
去麸,"两,克"
地柏,两
川芎,"None,g,两,钱,克,两半,分,两4钱,kg,两5钱,石,两1分,钱半,斤,两3钱,钱5分"
梅花蕊,钱
火硝,"两,None,分,钱"
鲛鱼皮,分
鹿角片,g
黑脂麻,两
味用麻布袋盛,None
赤白茯苓,克
金硫黄,厘
刺力,g
官拣参,None
麸炒黄色,克
藕汁,"杯,毫升"
将前物铺上,None
不然,None
涂生姜汁炙熟,两
陈艾叶,两
以葱汁将松香缓缓煮干,None
90,None
白信石,"g,钱,克"
大麻黄,两
炙马前,g
车前叶,握
先去筋膜,None
茯柃,g
制过半夏粉,两
藕节粉,None
鹿胎膏,g
黄芩,"None,g,两,克,钱,分,两5钱,两半,千克,片,石,份,两1分,钱5分,钱半,钱2分"
用附子,分
去盐不用,None
白巩,g
白丰心,枚
附子尖,个
天雄,"两,分,对,None,克,枚"
川草乌,"克,None"
炙厚朴,克
南木香,"钱,None,两"
胡桃肉,"g,个,None,克,两"
鸡蛋壳,"g,只"
蝉蜕,"钱,克,None,g,分,两,个,石,-7枚,两4钱"
用叶及花子,None
取出焙干,None
自然铜,"g,None,两,克,钱,分"
炒薏米,g
鱼古,g
活性酸乳粉,g
犀角末,分
取出令干,None
百部,"g,克,分,两,None,钱"
川楝子春秋,两
消石置于沙碗中,None
柞木枝,钱
为本,None
填满陈艾,None
黑木耳,None
三奈子,钱
羚羊角粉,g
羊鞭,None
槐树枝,寸
一方块,None
龟板胶,"克,g,两"
次以曾青,None
当归炭,"钱,g"
黑老虎根,None
有烟尘出者,None
盐水浸,"两,钱,None"
捣成片子,两
川贝粉,g
皂萸,g
生龟板,"钱,g"
参须,g
白炉甘石,None
生明乳香,"克,g"
桑螺蛸,g
青箱子,"None,两8钱"
只用蜡油,None
酒天冬,克
干蔓菁花,分
干,None
茅根大,斗
虎胆,钱
大梨,个
芒消,"克,分,两,钱,None,钱半,两半"
毕拔,g
米仁根,g
回,None
蔻壳,None
麻雀脑,个
昆布,"None,两,克,g,钱,分"
京赤芍,克
维小麦,g
牡荆子,两
捣饼,两
莪术,"None,克,两,g,斤,钱,分"
苏合香,"None,g,克"
海马,"None,对,g,克"
干紫苏,钱
蛤壳,"None,g,钱,两,钱2分"
平胃散,帖
入好酒,毫升
干黑木耳,两
人参粉,g
半入药,None
制半夏,"克,g,钱,分"
鳖甲,"g,两,斤,克,分,None,两半,钱,枚,两3钱"
真紫雪,克
龙涎香,钱
荆实子,两
姜汁制,"None,两半"
延胡索等药味经加工制成的大蜜丸,None
广郁金,"两,g,石,钱"
真藿香,钱
薅田藨,None
酒尽为度,None
核桃肉,"个,两"
石南草,克
膏成放冷,None
黄连l.,g
白石英,"g,两1分,两半"
瓦上炒干,两
檀香末,钱
厚朴,"两,克,钱,分,斤,None,g,两半,钱5分,两4钱,钱半,两1分"
落得打,克
熟地,"g,两,钱,None,斤,两5钱,克,kg,-9克,～30克,千克,石,钱2分,分,两3钱,～15克,钱半,～9克"
绿升麻,"g,None"
预知子,g
拣甘草,两
虻虫,"g,克,枚,钱"
白灰,克
味精,None
生酸枣仁,g
蜜炙白术,克
猪胆汁,None
愈陈愈妙,None
往来人便溺处,块
盐,"斤,None,两,克,字"
干蝎梢,分
生地羌活防风,None
炒山甲,"g,片"
少则,None
再用酒洗,钱5分
艾炭,"两,钱"
王不留行子,克
大米,"克,None"
珠茯神,g
不用油者,两
海羊,None
赤石脂,"g,两,克,钱,None,两半,分,钱2分,钱半"
蛇莓,克
栀壳,g
龙胆草,"g,None,钱,两,克,分,钱2分,两5钱"
制虎骨,两5钱
云母石,None
云木香,g
煎掠去洗,两
香白栀,钱
倾入在坑内,克
芍药薏苡仁,克
仍以碎饼屑紧塞上,None
山萸肉,"g,两,钱,分,克,两半,两5钱,石,两1分,None,钱半"
鼓,克
