雄黄,"钱,钱7分,g,钱5分,分,两,克"
鸦片,分
白菊花,克
茶叶,"克,g,None"
赤苓,"两,克,分,钱"
沙范子,g
红大戟,"钱,两,分"
糖球,克
生百合,克
曲头棘,两
蔻米,克
南烛叶,斤
地黄汁,None
入地坑埋,克
石楠藤,两
鸡苏茎叶,分
生马钱子,克
干姜皮,g
马勃,"克,钱,None"
取米,两
易,None
木贼,克
醋和阿魏作饼子,None
上薄桂,None
茉莉花,g
炒杜仲,g
桂枝,"None,克,g,两,分,钱"
细生地,克
生姜煎汤浸透,钱
小茴香,"None,g,两,钱"
苦楝子,两
苏梗,"两,克,g,None,斤"
番泻叶,g
黄药子,两
真阿胶,"钱,None"
大米粉,克
刺力,g
大胡麻,斤
蟾酥,"克,钱"
牛乳汁,斤
青子芩,"钱,克,钱半"
清炙草,克
好滑石,两
白牵牛,"钱半,两半"
恒山,两
牛子,"None,g"
野狸头骨,分
龙齿,两
海风藤,钱
不计遍数,克
北五灵脂,钱
松节,钱
食醋,g
山栀子,"两,克"
红花,"None,钱,克,g,至5钱,两"
红棉灰,钱
黄连末,两
野菊花,g
东墙衣,两
桂圆肉,克
冬瓜子,g
制川朴,两5钱
姜黄,"g,两,克"
板兰根,g
上片,分
海金砂,"g,钱"
头白面,钱
白米,合
砱砱石,两
生姜糊,g
梁州榉皮,分
辛夷花,g
青黛,"g,钱,两,克,分"
津梗,g
牛骨髓,g
牡蛎,"g,钱,两,None"
空青,None
白果,"g,两,个"
赤白苓,克
瞿麦,"两,克,分,g"
鲜竹叶,张
干漆,"钱,克,两"
鲜地瓜,克
大厚朴,碗
虎骨胶,两
白颈蚯蚓,条
只用,两半
鬼箭羽,"g,两半,钱"
乌药,"两,None,克,g,分"
佛座须,None
于白术,两
枯白矾,钱
山慈姑,g
臭黄,分
牡蛎粉,钱
生熟地,g
香墨,"g,两"
地榆,"None,克,g,两,钱5分"
法夏,"克,g,钱,None"
鬼臼,两
生韭菜,None
生荆芥,g
荞麦面,合
大蓟,g
白前,"千克,g"
茱萸肉,钱5分
并以生姜汁和作饼子,None
炮附子,g
西茵陈,g
川木通,"克,钱,两,None,g,分"
密佗僧,克
木瓜炙甘草,g
黄柏末,两
灯心引,None
肉豆蔻仁,斤
云南一口剑,g
独活,"None,两,g,钱,克,分,斤"
生黄芪,"g,克"
牡丹,"两,克,两半"
鸡屎醴,None
犀角屑,"两,分,None"
橡实,两
炙鸡内金,g
皂角刺,"g,两"
不食井花水,None
土瓜,两
青蒿,"克,g,None,握"
红藤,g
广藿香油,ml
不出油,None
草决明,"g,钱"
椒目,"克,两半"
蓝实,两
甘草浸膏,g
龙骨,"g,两,None,分,钱"
冰片,"钱,两,g,分5厘,分,克,钱5分,None"
炙黄耆,None
京楂核,钱
嫩苏梗,钱
大附子,"钱,克"
掠去沫,两
葶苈子,"g,两,分"
马兜铃,"g,钱,None"
生姜片,g
鲜姜皮,克
鲜柏叶,g
白芨,"g,分"
茯苓皮,"克,g"
川乌头,"两,分,克"
叶痕芋药,g
百合,"g,两,None"
金钱草,"g,克"
天南星,"g,两,钱,None,克"
青木香,"钱,克,None"
生地,"克,None,两,钱,g,双,两5钱,斤,分,钱5分"
全甘草,g
桂技,钱
宣泽泻,钱
钟乳粉,"克,钱"
琥珀,两
男子发,两2钱
煎令熟,None
蜜半合,None
佛手,g
补中益气汤加柴胡,分
生蒲黄,g
蒴藋,None
鸡苏散,g
仙灵牌,g
炒砂仁,克
侧柏炭,g
菊花,"两,克,g,None,分"
明雄,钱
胎发,None
饴糖,斤
淡竹叶,"None,片,g"
川尖贝,None
干石斛,两
川羌活,"钱,None"
牛薏子,升
甘草,"钱,分,None,g,两,克,两5钱,钱半,两半,钱4分,寸,斤,文"
硼砂,钱
薄荷油,钱
茵陈蒿,"克,g,None"
甘草末,"两,克"
胆酿南星,钱
橘络,g
败蒲,两
银箔,片
黄柏,"克,钱,None,两,g,分"
煨广木香,g
半夏曲,"两,克"
百草霜,克
胆南星,"钱,g"
麻黄根,"分,g"
土芎,None
忍冬,克
芜荑仁,钱
神曲,"两,None,钱,g,克,钱半,分,两5钱"
西洋参,g
羊子肝,具
净蝉蜕,None
乌贼鱼骨,"克,两"
酥油,两
辛荑,"克,g"
白附子,"分,None,钱,两,g,克"
紫豆蔻,克
龙胆草,"克,两,g,None"
败龟,两
葫芦巴,两
生姜两片,None
生杭芍,钱
白石脂,两
泽兰,克
焦山栀,"～9克,g"
象皮,钱
盐花,合
青凡本,g
白面,"匙,斤"
芒硝,g
车前子汁,None
必要时多加好醋,None
大牡蛎,g
小胡麻,克
生脑子,钱
枸杞子,"g,None,克,两半,两,钱"
梨皮,"g,克"
一枝黄花,g
草乌,"两,None,克"
山药,"g,两半,两,钱,None"
蛇床子,"两半,两,两2钱,钱,None,g"
火尽为度,克
侧柏,两
滇紫草,None
天竺黄,两
六味地黄汤加柴胡,None
车前草,g
大飞扬,g
鲜蒲公英,g
黑豆,两
胡桃肉,"None,个"
南巴豆,个
姜皮,钱
红豆蔻,"钱5分,两"
沥青,None
紫苏叶油,ml
五味子,"两,g,克,钱,个,None,粒,合,分"
草果,"两,g,克,钱"
牛乳,升
广木香,"钱,两"
茵皮,g
饭锅蒸,None
海蛤,钱
炮甲,g
海螵蛸,"钱,g"
铅粉,"分,钱,两,None,铢"
炙川乌,g
黄苓,g
樟脑,"钱,g,None"
炒五味子,g
山萸,g
牛蒡子,"克,None,g,钱,钱半,两"
吴白芷,两
故纸,钱
泽泻,"钱2分,None,克,两,钱,g,分,两半,钱半,斤"
真川朴,克
肉苁蓉,"None,两3钱,g"
入锅熟煮,None
%黄芩,g
麦冬,"钱,None,两,克,钱半,g,两半,两5钱,斤,分"
焦枳壳,克
川楝子,"g,克,两"
入斑蝥去翅,None
荷叶,"g,片"
清夏,钱
胖大海,枚
涂生姜汁,"两,None"
生姜两片大枣,枚
毛麝香,g
黑牵牛,"钱半,钱"
雨前茶,"钱,克"
杜仲,"克,None,钱,两"
柳枝,握
醋,毫升
干荷叶,片
犀角尖,钱
茵芋,两
取净末,两
连轺,"克,g"
鹤虱,"钱,g,两"
破故子,"钱,两,g,None"
食盐,两
雌黄,分
天冬,"钱,g,克,None"
大菟丝子,g
冬瓜皮,"g,斤"
苏叶,"g,两,克,None"
号粉,g
酒,None
壳砂,两5钱
香附,"钱5分,两,钱,克,g,斤,None"
远志,"钱,分,两半,两,钱5分,克,g"
芦根,"g,克"
丁香枝杖,斤
绿豆,"None,分,两"
生赤何首乌,斤
萆薢,"分,两,g"
蛇含石,"None,两"
莱菔子,"两,g,None,钱"
漏芦,"两,g,分"
胡连,"分,两,钱,None"
赤白芍,至5钱
但不可经铁器,None
北芍药,None
连须葱白,克
芜荑,两
%盒蚕,g
