蜣螂,"克,分,g,个,枚"
水红花子,"克,g"
粟米,"None,合"
藤黄,"g,分,None"
白花,None
川红花,"g,钱半"
草决明子,克
环留,g
山茵陈,"两,g"
生乳没,g
水淘,None
故纸,"钱,两,克"
太子参,g
豆衣,g
煅石决明,"两,g"
鸡蛋,"个,g"
％生大黄,g
釜脐墨,g
斑蝥,"克,None,枚,个,g"
怀中膝,g
炒冬瓜,g
怀中藤,g
生白芨,g
投半夏,None
百药煎三字,分
颗块朱砂,克
用黑牵牛,分
东米,钱
淫羊蔻,两
米泔浸,None
入后药同磨,None
鳖头,"个,None"
川归身,克
乌台药,g
水杨酸甲酯,"None,g"
盖上钻一孔子似黄米大,None
鸡子,"g,枚,个,None"
人工虫草,g
蛇尾制,None
白绛丹,g
蔓京,两2钱
壮人血余炭,None
甘遂,"两,g,钱,克,分,None"
紫肥厚朴,两
麦麸同炒去丝,None
桃树枝,g
白附,钱
炒灵脂,g
净石,钱
苏打屑,g
将铜绿研细,None
好人参,两
汤浸七次,克
川茴香,两
制桃仁,g
紫花地丁,"克,None,g,两,斤"
新橙皮,克
生耆,"两,钱"
入全蝎,None
熟虎,None
盆消,"克,两"
姜连,钱
豨签草,斤
陈皮粉,g
制大黄,"g,两"
薄荷汁,升
尖锐者为雄,None
鸭趾草,g
香蕉粉,g
纸糊瓜口,None
汤泡滤过,两
条黄芩,None
以高米醋,克
地龙干,g
酒制大黄,g
赤芍钱半,None
出火毒后,None
茜草,"克,钱,None,g,-5钱,两"
鼓心,分
炙紫菀,g
川元参,分
无孔者,None
橘叶核,g
熟子,g
当归身,"两5钱,克,钱,两,None"
牙消,"两5钱,None"
煅瓦楞,"两,克"
川升麻,"两,克,分,None,两半"
蕤仁霜,钱
姜枣,None
黑姜炭,"g,钱"
搅匀成膏,None
木律,钱
石榴,颗
穿山甲末,g
全竭,g
新韭子,None
生甘,钱
狼毒,"两半,两"
牛胆汁半合,None
生藕汁,"升,毫升"
去子,None
涂酥炙令焦黄,None
元支,None
炙蜈蚣,g
白术,"钱,None,克,两,g,升,两半,分,两5钱,两1分,钱5分,钱半,～9克,钱2分,斤"
鸠粪,分5厘
夏枯穗,钱
川芎,"None,g,克,钱,两,-30克,钱5分,-2g,钱半,两8钱,份,石,~45石,分,片,斤半,-15克,两5钱"
火硝,"克,None,两,钱"
鹿角片,"g,克"
头尖,g
调孩儿茶,None
夜交藤,"钱,g,None"
年少者,分
金硫黄,厘
兰香菜,两
刺力,g
阿胶大羊白及,g
去牵牛,None
戈半夏,钱
白莴苣子,克
漏芦,"克,g,两,分,斤,钱"
生牵牛,钱半
白臭椿根皮,None
90,None
补中益气汤去白术,None
鞭打绣球,g
不拘个数,None
方海,g
炙五灵脂,g
三七末,g
炒川柏,g
以来至一食间,None
在黄,g
加桑椹汁,斤
天雄,"两,克,分,None,两半,钱"
雄鹅胆,个
煅石燕子,两
炒延胡索,g
熟狗脊,g
当归,"两,斤,g,克,钱,None,钱5分,kg,～15克,-2g,升,石,重,～30克,合,两5钱,分,两半,钱半,～9克,两7钱半,两8钱"
南木香,"钱,None,两,分"
胡桃肉,"g,-7个,枚"
分一半生用,None
蝉蜕,"克,g,None,两,钱3分,分,个,钱,两4钱,只,枚"
延有索,g
芜活,g
白花败酱草,g
去姜,None
盐水炒杜仲,克
自然铜,"克,None,g,斤,两,钱,-15克"
活性酸乳粉,g
存性,分
百部,"g,两,None,钱"
盐酒浸,两5钱
黑木耳,"g,-12克"
令自干,None
新鲜骨碎补,斤
羚羊角粉,g
钩藤钩,None
侧柏枝,斤
炒四仙,g
麋角,克
或用乳香,钱
龟板胶,"g,None,钱半"
当归炭,g
黑丑头,两
川五灵脂,分
丛枝蓼,g
日虾蟆,None
尸地龙,石
陈香橼,"两,钱,None"
白萝卜汁,"毫升,g"
皂萸,g
同入后药,None
生明乳香,"克,钱"
青箱子,"两8钱,None"
揩千,克
杜蟾酥,钱
大黄膏入内,None
硝苯呲啶片,g
醋灵脂,两
青蛙,枚
花烟脂,分
炙旋覆花,g
百蜜,g
陈香片,g
芒消,"两,None,克,分,钱,钱匕"
川姜黄,None
马齿览,g
枣子,None
佩兰叶,钱
鸡蛋黄,个
横经席,None
京赤芍,"g,克"
垂盆草,g
松石,g
烘晒,None
莪术,"克,两,-6g,-6克,None,钱,至5钱,钱半,g,分,两半,钱7分,石"
制胆南星,g
海马,"钱,克"
干紫苏,钱
蛤壳,"克,g,None,两"
白头翁,"g,石,两,None"
入好酒,"碗,None,毫升"
地龙肉,钱
板兰板,g
人参粉,g
半入药,None
甘松叶,两
每长,厘
自退下者佳,None
广郁金,"克,g,石,两"
酥炙令焦,None
冰片等,None
栀皮,克
核桃肉,两
真青黛,两
水浸透,None
蜡一鸡子大,None
去毛,None
又用川楝子净肉,两
白石英,"两半,克"
73,None
落得打,"None,钱"
生爪龙,g
熟地,"克,两,None,～9克,g,钱,石,两5钱,-15克,斤,钱2分,两半"
苏木汤,None
？竹叶,g
去裙膜,None
虻虫,"升,个,克,g,钱,None,合"
上甘松,g
皂子仁,两
通明朴消,两
复将滓榨汁干用,None
菟丝了,g
猪胆汁,"枚,g"
白芨末,g
盐,"千克,两,克,钱,两5钱,None"
淬入生姜汁中,None
煅皂矾,克
红泽兰,g
小麦,两半
海羊,个
赤石脂,"g,两半,克,铢,两5钱,钱,两,分,None"
小茴炭,克
赤白,斤
栀壳,g
龙胆草,"kg,克,g,分,None,两,钱,两半"
狗食系骨,两
酥合油,分
煅文蛤,None
去猪苓,None
七叶莲,两
片黄芩,两
黄蘖,两
切成薄片,None
伸盘草,g
山萸肉,"钱,克,g,石,两,None,两5钱,分,钱半,两1分"
米囊皮,None
茯苓片,钱
鼓,克
生三七,g
豆大,None
绿豆衣,"钱,克"
红药子,g
络石藤,"克,g,两"
黄丹收,None
槐条,None
加至,"滴,钱,-4枚"
半夏小半合,None
用真乌豆,份
炒菜菔子,g
渐渐逼热,None
仍将汁入滓内,None
佩兰,"g,两"
仙鹤草,"克,g,升"
玄明粉,"克,g,份,None,钱,两"
水杨柳根,钱
熬成大黄膏,None
桃条,None
紫草,"None,克,g,钱半,两,钱,分"
白垩,"两,钱"
秫米,粒
加茯苓,None
滚,None
淡附,g
黄半夏,斤半
]克,None
南薄荷叶,克
布包海金砂,g
人参,"克,分,钱,g,两,None,钱半,两半,～9克,～30克,钱5分,～6克,石,两8钱,斤,两5钱,-2钱,升"
天精草,None
麦芽谷,g
鲜猪胆汁,毫升
稀莶草,g
酒知母,"g,克"
乌梢蛇,"两,钱,克,g,None,分,寸,-15克"
蕲蛇,"g,条,两"
人中黄,"分,None,克"
桑椹子,"克,g,斤,两,钱"
桕油烛,两
谷芽,"g,两,None,钱"
防已,"g,两"
龙葵,"g,两"
生玳瑁,"两,-5钱"
钟乳粉,"两,克"
紫草根,"钱5分,g"
香菇,g
炙地龙,g
玄精,两
莽草,"两,克,分,None"
海蛤粉,g
钱,两
黄酒,"斤,None,克,ml"
炒盐,两3钱
鲜鸡肝,枚
炙黄芪,g
消,"钱,两5钱"
生软石膏,两
用蜜浸蒸,None
再熬,None
飞面,None
苦参,"克,g,None,两5钱,斤,钱,两,钱2分,分,钱半,升"
八月扎,g
薯良,g
入酒中淬,None
全蝎粉,g
雷丸,"g,克,钱,两,升"
煨羌活,g
鲤鱼,斤
地炉中土,None
慢火熬,None
麻黄,"两,克,g,None,钱半,钱,分,两半,斤,钱5分"
以槐条不住用手搅,None
柳条,None
鲜水蜈蚣,g
五指毛桃根,g
麦芽,"克,两,g,钱,None,斤"
佛手干,两
捣筛粉,两
陈仓米,升
使君子肉,"两,克,g,钱5分"
锉作块子,两
赤芍,"g,斤,克,钱,None,两,钱2分,-2g,石,分,-5钱,两5钱,两半,-15克,千克,钱5分"
山风,g
炙川军,g
熬透去滓滤净,None
生栀仁,g
豨莶草,g
腊茶,两
生米仁,g
红茅大戟,g
防风苗,None
鸡西藤,g
生黄芩,克
千斤拔,"None,g"
翅,None
酒洗,"两,克"
即八面加火,None
生蓖仁,g
用汤洗十遍,克
煅瓦愣,g
川江花,g
六一散,"g,克,None,钱"
炙绵黄耆,钱
只心,None
香油,"斤,千克,两,g,None"
清油,两
桃仁泥,"克,g"
佛手花,g
当归身尾,-5钱
凤仙花,"钱,g"
炒黑豆,钱
夜明砂,"克,g,两,钱"
再泔浸一宿,None
木瓜香熟,None
指大,None
蜂蜡,"两,g,钱,两半,斤,克"
血竭末,g
松子仁,克
毛冬青,g
黄柏根皮,寸
劈开作,片
了哥王,g
桃肉,g
黑荆,钱
北刘寄奴,g
景天,两
生然铜,g
西瓜蒂,两
醋淬,"两,None"
大茴香,"两,g,None"
微炙,克
煮一次,None
橡皮,g
干鸡冠花,钱
即角湿纸片子搭盒上孔子,None
先将大黄末以好米醋,-4碗
辛荑花,克
白豆蔻仁,"克,两"
去盒子四面,寸
飞丹,"钱,None"
金沸草,"克,None"
小续命汤加干葛,None
生龟版,钱
狗蝇,None
茱萸,None
透骨消,g
[方源]古方化裁,None
青皮,"None,两,钱,钱5分,克,g,合,钱半,两5钱,斤8两,斤,分,两半,两2钱"
黄连不限多少,None
以铜刀分作两片,None
丹叁,g
胡桃,"None,-7个,个"
炒花生麸末,g
淀粉,kg
羊肉,None
半夏末,钱
王不留行,"克,g,石,钱,两"
荠苨,两
炮猪蹄甲,g
同炒令猪苓紫色,None
如法研细,None
金箔,"片,两,None,箔"
蜂白蜜大半钟,None
活马根,g
